totalScore,reviewsCount_log,cat_Empório gourmet,cat_Lanchonete,cat_Restaurante,cat_Restaurante Mineiro,cat_Restaurante brasileiro,cat_Restaurante fast-food,cat_Restaurante italiano,cat_Restaurante self-service,Y_class
4.4,5.429345628954441,False,False,False,False,True,False,False,False,0
4.6,7.690743163541872,True,False,False,False,False,False,False,False,1
4.9,6.670766320845874,False,False,True,False,False,False,False,False,1
4.7,6.212606095751519,False,False,False,False,True,False,False,False,1
4.6,6.784457062637643,False,False,False,False,False,False,False,True,1
4.5,7.256297239690681,False,False,False,False,False,False,False,True,1
4.7,5.41610040220442,False,False,False,False,True,False,False,False,1
4.3,6.608000625296087,False,False,True,False,False,False,False,False,0
4.4,7.553286605600419,False,False,True,False,False,False,False,False,0
4.3,7.180069874302796,False,False,False,False,False,False,False,True,0
4.4,5.049856007249537,False,False,True,False,False,False,False,False,0
4.4,4.61512051684126,False,False,True,False,False,False,False,False,0
4.5,3.6375861597263857,False,False,True,False,False,False,False,False,1
3.4,4.276666119016055,False,False,True,False,False,False,False,False,0
4.5,4.382026634673881,False,False,True,False,False,False,False,False,1
4.3,6.342121418721152,False,False,False,False,False,False,False,True,0
4.3,5.973809611869261,False,False,False,False,False,False,True,False,0
4.9,2.0794415416798357,False,False,True,False,False,False,False,False,1
4.9,2.833213344056216,False,True,False,False,False,False,False,False,1
4.4,3.6375861597263857,False,False,True,False,False,False,False,False,0
4.8,6.586171654854675,False,False,True,False,False,False,False,False,1
4.4,9.026056891868688,False,False,False,False,False,False,False,True,0
4.1,4.2626798770413155,False,False,True,False,False,False,False,False,0
4.4,6.073044534100405,False,False,True,False,False,False,False,False,0
4.4,2.8903717578961645,False,False,True,False,False,False,False,False,0
4.2,4.584967478670572,False,False,False,True,False,False,False,False,0
4.6,7.166265974133638,False,False,False,False,False,False,False,True,1
4.2,3.1354942159291497,False,False,True,False,False,False,False,False,0
5.0,0.6931471805599453,False,False,True,False,False,False,False,False,1
4.5,6.576469569048224,False,False,False,False,False,False,False,True,1
4.3,6.699500340161678,False,False,False,False,False,False,False,True,0
4.4,5.402677381872279,False,False,True,False,False,False,False,False,0
5.0,1.6094379124341003,False,False,True,False,False,False,False,False,1
4.2,4.356708826689592,False,False,False,False,False,False,False,True,0
4.1,4.8283137373023015,False,False,True,False,False,False,False,False,0
4.1,2.995732273553991,False,False,True,False,False,False,False,False,0
4.3,3.5553480614894135,False,False,True,False,False,False,False,False,0
4.0,4.477336814478207,False,False,True,False,False,False,False,False,0
4.5,5.424950017481403,False,False,False,False,False,False,False,True,1
4.1,5.7899601708972535,False,False,False,False,True,False,False,False,0
4.3,5.605802066295998,False,False,True,False,False,False,False,False,0
4.1,4.820281565605037,False,True,False,False,False,False,False,False,0
4.4,6.583409222158765,False,False,False,False,False,False,False,True,0
4.6,2.302585092994046,False,True,False,False,False,False,False,False,1
4.7,5.262690188904886,False,False,True,False,False,False,False,False,1
4.4,5.247024072160486,False,False,True,False,False,False,False,False,0
4.4,5.267858159063328,False,False,True,False,False,False,False,False,0
4.3,2.5649493574615367,False,False,True,False,False,False,False,False,0
5.0,1.9459101490553132,False,False,True,False,False,False,False,False,1
4.6,4.574710978503383,False,False,False,False,False,True,False,False,1
